key,id,summary,epic,url
JNF-1,10462,Foundation - Project Structure,,"https://ndisapppoc.atlassian.net/browse/JNF-1"
JNF-2,10463,Data model - initial version,,"https://ndisapppoc.atlassian.net/browse/JNF-2"
JNF-3,10464,API services - initial version,,"https://ndisapppoc.atlassian.net/browse/JNF-3"
JNF-4,10465,Web app - initial version,,"https://ndisapppoc.atlassian.net/browse/JNF-4"
JNF-5,10466,Mobile app - initial version,,"https://ndisapppoc.atlassian.net/browse/JNF-5"
JNF-6,10467,Deployment - initial setup on Vercel,,"https://ndisapppoc.atlassian.net/browse/JNF-6"
JNF-7,10468,Documentation - initial setup,,"https://ndisapppoc.atlassian.net/browse/JNF-7"
JNF-8,10469,Authentication & Authorization,,"https://ndisapppoc.atlassian.net/browse/JNF-8"
JNF-9,10470,Data Model,,"https://ndisapppoc.atlassian.net/browse/JNF-9"
JNF-10,10471,UI Components & Design System,,"https://ndisapppoc.atlassian.net/browse/JNF-10"
JNF-11,10472,Participant Management,,"https://ndisapppoc.atlassian.net/browse/JNF-11"
JNF-12,10473,Plan & Budget Management,,"https://ndisapppoc.atlassian.net/browse/JNF-12"
JNF-13,10474,Scheduling & Appointments,,"https://ndisapppoc.atlassian.net/browse/JNF-13"
JNF-14,10475,Timesheets & Approvals,,"https://ndisapppoc.atlassian.net/browse/JNF-14"
JNF-15,10476,Claims & Finance,,"https://ndisapppoc.atlassian.net/browse/JNF-15"
JNF-16,10477,User authentication API (JWT),JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-16"
JNF-17,10478,Role-based access control (RBAC) system,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-17"
JNF-18,10479,User profile management,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-18"
JNF-19,10480,Password reset functionality,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-19"
JNF-20,10481,Registration API for new users,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-20"
